,Name,Weather,Latitude,Longitude,Elevation,Analized days,Total data,CSI data,SSPC_MBD,SSPC_MAPD,SSPC_MAD,SSPC_RMSD,SSPC_SD,SSPC_NSE_o_R2,SSPC_SBF,SSPC_U95,SSPC_TS,SSPC_WIA,SSPC_LCE,SSPC_KSI,SSPC_OVER,SSPC_CPI,SSPC_KSI_norm,SSPC_OVER_norm,SSPC_CPI_norm,ESRA_RMSD,I&P_RMSD,HLJ_RMSD,Mghouchi_RMSD,Biga_RMSD,FR1999_RMSD,S1994_RMSD,DPP_RMSD,M1976_RMSD,L1970_RMSD,Kasten_RMSD,SP1965_RMSD,Hourwitz_RMSD,Om
41,Lindenberg,C,52.21,14.122,125,3287,4733280,363673,5.54,6.74,5.93,8.07,8.17,0.31,0.67,22.51,15.15,0.81,0.34,679.32,23.38,179.71,14931.41,3339.04,4571.65,8.46,1.19,63.99,53.47,10.16,64.04,8.93,50.26,8.91,8.73,9.34,8.72,35.16,713.1
42,Minamitorishima,C,24.2883,153.9833,7.1,3928,5640584,960192,6.11,7.75,6.46,9.49,9.57,0.35,0.61,26.42,14.34,0.82,0.39,2555.46,107.7,670.53,18853.77,4406.95,5819.93,10.02,1.41,54.86,34.29,9.49,46.09,8.54,32.31,8.56,8.58,11.75,8.66,29.14,780.73
43,Momote,A,-2.058,147.425,6,1374,1977779,128692,3.74,4.82,4.15,5.91,6.02,0.41,0.66,16.54,11.52,0.84,0.43,509.31,64.82,146.49,8218.29,1666.75,2474.22,6.43,1.42,57.13,37.04,6.16,48.97,4.85,34.27,4.86,4.88,4.92,4.92,28.68,776.96
44,Nauru Island,A,-0.521,166.91667,7,1347,1934595,95062,3.95,5.5,4.76,6.67,6.8,0.36,0.72,18.67,9.79,0.86,0.44,525.7,91.4,157.61,5799.69,986.28,1699.83,7.19,1.43,60.06,41.7,6.21,52.75,4.75,38.73,4.76,4.76,5.44,4.68,29.71,763.24
45,Neumayer Station,E,-70.65,-8.25,42,4018,5783671,511189,5.97,7.05,6.12,9,9.07,0.01,0.46,25.04,16.19,0.72,0.25,2225.66,501.07,686.18,46045.36,22010.92,17018.57,19.86,1.3,76.91,65.85,20.11,75.47,22.28,66.25,22.22,21.79,22.46,21.48,15.47,830.61
46,Newcastle,E,82.49,-62.42,127,395,518362,24642,10,11.12,10.02,13.71,13.78,-1.44,-0.02,38.11,17.64,0.42,-0.42,2624.81,1965.17,1154.35,77914.3,58678.27,34155,19.51,1.09,85.33,81.24,23.01,89.28,33.77,79.51,33.64,31.94,20.81,32.35,16.08,789.26
47,Ny-≈lesund,E,78.925,11.93,11,4018,5784467,398347,5.17,6.33,5.63,8.22,8.29,-0.07,0.5,22.88,17.1,0.72,0.22,464.61,232.98,178.5,51915.34,26334.02,19566.45,12.02,1.48,80.38,70.77,10.45,79.27,17.01,68.16,16.95,16.8,14.56,15.82,30.67,699.02
48,Observatory of Huancayo,E,-12.05,-75.32,3314,608,787680,64163,2.92,3.44,3.13,4.5,4.57,-0.02,0.61,12.57,14.85,0.8,0.34,5496.23,238.48,1435.93,13444,2291.62,3936.15,4.41,8.75,5.95,39.1,13.02,67.93,25.21,35.91,12.29,14.97,5.56,12.01,8.94,938.74
49,Palaiseau,C,48.713,2.208,156,3652,5252431,432929,5.74,7.34,6.44,8.79,8.93,0.27,0.66,24.56,15.01,0.8,0.32,155.03,24.84,49.36,15189.5,3470.04,4669.28,8.98,1.11,62.58,52.87,10.18,63.82,8.85,50.01,8.82,8.59,10.25,8.66,34.25,720
50,Paramaribo_TL,A,5.806,-55.2146,4,363,516572,18603,6.15,8.01,6.6,8.88,9.05,0.36,0.67,24.85,9.73,0.83,0.41,91.5,8.25,29.38,3782.29,861.39,1165.36,7.3,1.51,55.23,33.84,14.95,46.69,13.43,31.87,13.48,13.52,6.76,13.96,43.74,699.37
51,Payerne,C,46.815,6.944,491,4018,5742720,522588,4.62,5.73,5.05,7.01,7.09,0.33,0.65,19.54,16.2,0.81,0.35,433.87,59.2,126.77,16793.17,3355.98,5040.79,6.99,0.2,48.44,49.75,8.52,62.35,8.69,46.43,8.49,7.03,7.31,8.15,24.94,782.6
52,Petrolina,B,-9.068,-40.319,387,3121,3913223,342679,3.83,5.16,4.4,6.15,6.22,0.56,0.75,17.14,12.93,0.9,0.55,38.61,7.38,14.57,7557.6,950.23,2130.03,6.37,0.49,47.23,43.06,6.19,56.56,5.53,40.58,5.51,6.5,4.81,5.4,29.98,759.24
